Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,total,MutatedSamples,AlteredSamples
TP53,48,11,6,2,259,45,0,35,0,406,387,387
TTN,22,6,2,1,737,53,0,5,0,826,351,351
CSMD3,8,2,0,0,251,35,0,9,0,305,208,208
MUC16,7,1,0,0,293,17,0,6,0,324,192,192
RYR2,6,1,0,0,230,15,0,11,0,263,182,182
LRP1B,7,3,0,0,198,18,0,8,0,234,164,164
USH2A,8,1,0,0,176,10,0,7,0,202,155,155
SYNE1,5,1,1,0,174,20,0,5,0,206,152,152
ZFHX4,8,1,0,0,171,14,0,0,0,194,142,142
FAM135B,3,1,0,0,126,12,1,1,0,144,114,114
KMT2D,28,6,1,0,51,41,0,8,0,135,112,112
NAV3,0,1,0,0,106,9,0,4,0,120,102,102
SPTA1,5,3,0,0,111,7,0,1,0,127,98,98
RYR3,6,1,1,0,106,7,0,5,0,126,96,96
XIRP2,2,0,0,1,101,9,0,2,0,115,95,95
PCDH15,2,0,0,0,102,10,0,3,0,117,92,92
CDH10,4,0,0,0,95,9,0,2,1,111,92,92
DNAH5,6,1,0,0,98,11,0,3,0,119,90,90
PKHD1L1,5,1,0,0,89,6,0,2,0,103,89,89
PKHD1,2,1,0,0,88,7,0,0,0,98,89,89
PAPPA2,3,0,0,0,94,5,0,1,0,103,88,88
DNAH8,1,1,0,0,80,8,0,2,0,92,84,84
ADAMTS12,6,0,0,0,80,6,0,3,0,95,83,83
PCLO,1,2,0,0,106,2,0,1,0,112,82,82
FLG,1,1,0,0,95,7,0,0,0,104,82,82
SI,2,2,0,0,80,12,0,4,0,100,82,82
COL11A1,2,0,1,0,85,7,0,5,0,100,81,81
RELN,1,0,1,0,89,10,0,2,0,103,79,79
MUC17,3,1,0,0,83,7,0,0,0,94,79,79
HCN1,1,0,0,0,82,9,0,0,0,92,78,78
ERICH3,3,1,0,0,77,9,0,1,0,91,78,78
CNTNAP5,3,0,0,0,73,6,0,2,0,84,77,77
LRP2,1,0,0,0,81,6,0,0,0,88,76,76
CDKN2A,16,2,4,0,30,20,0,6,0,78,76,76
CSMD1,2,1,0,0,85,7,0,2,0,97,75,75
COL22A1,3,0,0,0,71,8,0,4,0,86,75,75
APOB,1,0,0,0,74,9,0,0,0,84,75,75
DNAH9,3,1,0,1,76,8,0,3,0,92,74,74
FAT3,2,0,0,0,81,5,0,1,0,89,74,74
DNAH7,2,0,0,0,79,5,0,1,0,87,74,74
RYR1,2,1,1,0,74,3,0,3,0,84,74,74
ADGRB3,0,2,0,0,60,15,0,3,0,80,73,73
NFE2L2,0,1,6,0,67,0,0,0,0,74,73,73
PCDH11X,0,0,0,0,83,5,0,0,0,88,72,72
FAT1,10,2,0,0,37,23,0,10,0,82,72,72
TNR,0,1,0,0,71,4,0,2,0,78,72,72
ZNF804B,3,1,1,0,68,6,0,0,0,79,71,71
CUBN,3,0,0,0,79,4,0,3,0,89,70,70
ZNF804A,1,0,1,0,73,6,0,0,0,81,69,69
ADGRV1,1,0,1,0,70,3,0,2,0,77,69,69
